物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型
大丰市_大中农场一分场_宏站型,大丰区,866283_41,320934,14594888,866283,41,YC_DF_ZX_大丰大中农场一分场_FL9_A_1,41,300,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草庙镇圩东村一组_FL9,120.692701,33.079961,0,0,1,1,宏站,1
大丰市_大中农场一分场_宏站型,大丰区,866283_51,320934,14594888,866283,51,YC_DF_ZX_大丰大中农场一分场_FL9_B_1,51,301,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草庙镇圩东村一组_FL9,120.692701,33.079961,7,120,1,1,宏站,1
大丰市_大中农场一分场_宏站型,大丰区,866283_61,320934,14594888,866283,61,YC_DF_ZX_大丰大中农场一分场_FL9_C_1,61,302,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草庙镇圩东村一组_FL9,120.692701,33.079961,14,240,1,1,宏站,1
陆集西,滨海县,865601_11,320936,14595347,865601,11,YC_BH_ZX_陆集西_FL9_A_1,11,54,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_陆集西_FL9,119.910859,34.163541,21,0,1,1,宏站,1
陆集西,滨海县,865601_21,320936,14595347,865601,21,YC_BH_ZX_陆集西_FL9_B_1,21,55,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_陆集西_FL9,119.910859,34.163541,28,120,1,1,宏站,1
陆集西,滨海县,865601_31,320936,14595347,865601,31,YC_BH_ZX_陆集西_FL9_C_1,31,56,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_陆集西_FL9,119.910859,34.163541,35,240,1,1,宏站,1
东台新街镇九总村,东台市,865760_11,320933,14594659,865760,11,YC_DT_ZX_东台新街镇九总村_FL9_AC_1,11,384,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台新街BBU2_FL9,120.738998,32.663253,704,0,1,1,宏站,1
东台新街镇九总村,东台市,865760_21,320933,14594659,865760,21,YC_DT_ZX_东台新街镇九总村_FL9_B_1,21,385,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台新街BBU2_FL9,120.738998,32.663253,708,120,1,1,宏站,1
市干校东,亭湖区,865939_11,320932,14594080,865939,11,YC_TH_ZX_市干校东_FL9_AC_1,11,402,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_中路港BBU1_FL9,120.484079,33.540423,776,60,1,1,宏站,1
市干校东,亭湖区,865939_21,320932,14594080,865939,21,YC_TH_ZX_市干校东_FL9_B_1,21,403,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_中路港BBU1_FL9,120.484079,33.540423,780,180,1,1,宏站,1
大丰市_草堰界中C_宏站型,大丰区,864356_11,320934,14594823,864356,11,YC_DF_ZX_大丰草堰界中C_FL9_A_1,11,207,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL9,120.330601,32.938761,91,95,1,1,宏站,1
大丰市_草堰界中C_宏站型,大丰区,864356_21,320934,14594823,864356,21,YC_DF_ZX_大丰草堰界中C_FL9_BC_1,21,208,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL9,120.330601,32.938761,98,215,1,1,宏站,1
王港工业园,大丰区,865477_11,320934,14594841,865477,11,YC_DF_ZX_王港工业园_FL9_A_1,11,285,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_王港工业园_FL9,120.744691,33.179101,28,0,1,1,宏站,1
王港工业园,大丰区,865477_31,320934,14594841,865477,31,YC_DF_ZX_王港工业园_FL9_CB_1,31,287,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_王港工业园_FL9,120.744691,33.179101,42,240,1,1,宏站,1
吴抬路,盐都区,866217_11,320931,14594353,866217,11,YC_YD_ZX_吴抬路_FL9_A_1,11,318,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_吴抬路_FL9,120.133138,33.283181,440,0,1,1,宏站,1
吴抬路,盐都区,866217_21,320931,14594353,866217,21,YC_YD_ZX_吴抬路_FL9_BC_1,21,319,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_吴抬路_FL9,120.133138,33.283181,444,130,1,1,宏站,1
滨海县_H5振东前港机房_宏站型,滨海县,866327_11,320936,14595366,866327,11,YC_BH_ZX_滨海县H5振东前港机房_FL9_B_1,11,397,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5振东前港机房_FL9,120.170001,34.098001,756,120,1,1,宏站,1
滨海县_H5振东前港机房_宏站型,滨海县,866327_21,320936,14595366,866327,21,YC_BH_ZX_滨海县H5振东前港机房_FL9_CA_1,21,398,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5振东前港机房_FL9,120.170001,34.098001,760,240,1,1,宏站,1
上海农场东,大丰区,865438_51,320934,14594840,865438,51,YC_DF_ZX_上海农场东_FL9_BA_1,51,391,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_海丰农场_FL9,120.587549,33.348032,732,120,1,1,宏站,1
上海农场东,大丰区,865438_61,320934,14594840,865438,61,YC_DF_ZX_上海农场东_FL9_C_1,61,392,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_海丰农场_FL9,120.587549,33.348032,736,240,1,1,宏站,1
大丰_北团五队_宏站型,大丰区,865258_11,320934,14594831,865258,11,YC_DF_ZX_大丰_北团五队_宏站型_FL9_AC_1,11,297,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰_北团五队_宏站型_FL9,120.449001,33.141001,35,0,1,1,宏站,1
大丰_北团五队_宏站型,大丰区,865258_21,320934,14594831,865258,21,YC_DF_ZX_大丰_北团五队_宏站型_FL9_B_1,21,298,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰_北团五队_宏站型_FL9,120.449001,33.141001,63,120,1,1,宏站,1
三灶镇双岗村,阜宁县,866210_41,320937,14595632,866210,41,YC_FN_ZX_三灶镇双岗村_FL9_AB_1,41,69,20926,8,909.5,954.5,10(50RB)[3],YC_FN_ZX_阜宁县50户以上需求补点1_FL9,119.738701,33.874001,276,350,1,1,宏站,1
三灶镇双岗村,阜宁县,866210_51,320937,14595632,866210,51,YC_FN_ZX_三灶镇双岗村_FL9_C_1,51,71,20926,8,909.5,954.5,10(50RB)[3],YC_FN_ZX_阜宁县50户以上需求补点1_FL9,119.738701,33.874001,284,215,1,1,宏站,1
后港雍庄,东台市,865476_11,320933,14594581,865476,11,YC_DT_ZX_后港雍庄_FL9_A_1,11,330,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_后港雍庄_FL9,120.230957,32.701752,0,0,1,1,宏站,1
后港雍庄,东台市,865476_21,320933,14594581,865476,21,YC_DT_ZX_后港雍庄_FL9_B_1,21,331,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_后港雍庄_FL9,120.230957,32.701752,7,120,1,1,宏站,1
后港雍庄,东台市,865476_31,320933,14594581,865476,31,YC_DT_ZX_后港雍庄_FL9_C_1,31,332,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_后港雍庄_FL9,120.230957,32.701752,14,240,1,1,宏站,1
学富东,盐都区,866347_41,320931,14594351,866347,41,YC_YD_ZX_学富东_FL9_A_1,41,483,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都区东方天成东_FL9,119.897574,33.288291,268,40,1,1,宏站,1
学富东,盐都区,866347_51,320931,14594351,866347,51,YC_YD_ZX_学富东_FL9_B_1,51,484,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都区东方天成东_FL9,119.897574,33.288291,272,160,1,1,宏站,1
学富东,盐都区,866347_61,320931,14594351,866347,61,YC_YD_ZX_学富东_FL9_C_1,61,485,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都区东方天成东_FL9,119.897574,33.288291,276,275,1,1,宏站,1
射阳竹节移动,射阳县,865559_41,320938,14595851,865559,41,YC_SY_ZX_射阳竹节移动_FL9_BA_1,41,385,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳海通北_FL9,120.279228,33.876094,708,120,1,1,宏站,1
射阳竹节移动,射阳县,865559_51,320938,14595851,865559,51,YC_SY_ZX_射阳竹节移动_FL9_C_1,51,386,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳海通北_FL9,120.279228,33.876094,712,240,1,1,宏站,1
盐都区_大纵湖陈捷村_宏站型,盐都区,865682_11,320931,14594324,865682,11,YC_YD_ZX_盐都大纵湖陈捷村_FL9_A_1,11,216,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都大纵湖陈捷村_FL9,119.729632,33.179232,0,0,1,1,宏站,1
盐都区_大纵湖陈捷村_宏站型,盐都区,865682_21,320931,14594324,865682,21,YC_YD_ZX_盐都大纵湖陈捷村_FL9_B_1,21,217,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都大纵湖陈捷村_FL9,119.729632,33.179232,7,120,1,1,宏站,1
盐都区_大纵湖陈捷村_宏站型,盐都区,865682_31,320931,14594324,865682,31,YC_YD_ZX_盐都大纵湖陈捷村_FL9_C_1,31,218,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都大纵湖陈捷村_FL9,119.729632,33.179232,14,240,1,1,宏站,1
建湖县开发区大王村,建湖县,866431_71,320939,14596159,866431,71,YC_JH_ZX_建湖县开发区大王村_FL9_A_1,71,402,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_规划653_FL9,119.839361,33.565751,776,0,1,1,宏站,1
建湖县开发区大王村,建湖县,866431_81,320939,14596159,866431,81,YC_JH_ZX_建湖县开发区大王村_FL9_CB_1,81,404,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_规划653_FL9,119.839361,33.565751,784,240,1,1,宏站,1
东台郝芥,东台市,865952_11,320933,14594614,865952,11,YC_DT_ZX_东台郝芥_FL9_AB_1,11,69,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台郝芥_FL9,120.798001,32.715441,7,0,1,1,宏站,1
东台郝芥,东台市,865952_31,320933,14594614,865952,31,YC_DT_ZX_东台郝芥_FL9_C_1,31,71,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台郝芥_FL9,120.798001,32.715441,21,240,1,1,宏站,1
滨海县自然村重整7,滨海县,866101_41,320936,14595376,866101,41,YC_BH_ZX_滨海县自然村重整7_FL9_A_1,41,462,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9,120.151605,34.324654,184,0,1,1,宏站,1
